#Id	Organism	TaxonID	Full_Taxonomy	Banfield_tree_name	CDS_GC	CDS_GC_nostartstop	Ribo_prot_GC_nostartstop	CDS_number	Intragenic_GC	Gene_density	Coding_density	Genome_length	Intragenic_length	CDS_length	tRNA_number	All_NC_wright	All_NC_novembre	All_NC_info	Ribo_NC_wright	Ribo_NC_novembre	Ribo_NC_info	Ribo_prot_number	Information_content_all(-20_-4)	Information_content_ribo(-20_-4)	Information_content_all_mean_random(-20_-4)	Information_content_ribo_mean_random(-20_-4)	Mean_binding_all	Mean_binding_ribo	Mean_binding_all_mean_random	Mean_binding_ribo_mean_random	Location_of_best_binding_all	Location_of_best_binding_ribo	ATG_start_percent	16s_copies	23s_copies	CDS_with_SD_utr_motif	Expected_CDS_with_SD_utr_motif	CDS_with_SD_utr_binding	Expected_CDS_with_SD_utr_binding	RP_information_percentile	RP_information_zscore	aSD_binding_score_ribosome	aSD_binding_score_all	Internal_SD_seqs	Mean_folding_init	Mean_folding_internal	Mean_folding_diff	Mean_folding_init_ribo	Mean_folding_internal_ribo	Mean_folding_diff_ribo	aSD_binding_summary	folding_energy_init_summary	folding_energy_diff_summary	NC_summary_info	NC_summary_novembre	SD_summary_all_info	SD_summary_ribo_info	SD_summary_all_motif_diff	SD_summary_all_binding_diff	Domain	Phylum	Class
GCA_000015965	Prochlorococcus marinus str. MIT 9301	167546	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus.	Bacteria_Cyanobacteria_Prochlorales_Prochlorococcaceae_Prochlorococcus_marinus_str._MIT_9301	0.3207523256869977	0.32139819255970303	0.36407681465821007	1774.0	0.2518730431825229	0.9023807479113868	0.8986520931201386	1641879.0	160279.0	1475478.0	35.0	40.064101653324755	53.687901176930716	60.351147445528355	41.17554938869599	49.771119329045895	59.81792901419671	53.0	4.135552920453739	4.075574475743556	4.0751219480884995	4.0847758400169765	-0.8620699379582569	-2.170943396226415	-0.558025752961078	-0.5479433962264152	15.0	15.0	0.7908680947012401	1.0	1.0	237.0	129.542	163.0	62.478	6.74	-1.467530970276682	2.92556436165051	2.8598862221773684	444.0	-4.685567598402739	-7.087079292641187	2.4015116942384487	-3.6980769230769233	-7.973076923076923	4.275	0.022965298047115206	-0.21075155882127083	0.7801287456797747	-0.008835265838365691	-0.07295464642912568	0.0604309723652392	-0.009201364273420332	0.060573844419391204	0.056664036076662906	Bacteria	Cyanobacteria	Prochlorales
GCA_000011345	Thermosynechococcus elongatus BP-1	197221	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Thermosynechococcus.	Bacteria_Cyanobacteria_Chroococcales_Thermosynechococcus_elongatus_BP_1	0.5454128462018046	0.5468558979308499	0.5475472601100742	2476.0	0.482859085170438	0.8989042186982551	0.8984847661224192	2593857.0	262228.0	2330541.0	39.0	50.477606801226045	51.94254535016953	57.93040248071378	47.92528366188834	48.82576479086156	56.023635673453896	53.0	0.2487292292945327	2.477095799464694	0.026918133591961397	0.7924409673344432	-2.761203554119557	-5.0009433962264165	-1.4730045476575175	-1.45104	17.0	16.0	0.7439418416801292	1.0	1.0	1001.0	461.74800000000005	922.0	417.78	100.0	8.134831091249028	2.808592791222293	3.4725078092328223	687.0	-10.457765089722676	-14.002622349102776	3.5448572593800978	-8.605882352941176	-13.582352941176472	4.976470588235294	-0.19119179984139686	-0.1770820745057115	0.4038564105979116	-0.03291478611588598	-0.060004386352194745	0.2218110957025713	1.6846548321302506	0.2177915993537964	0.20364297253634897	Bacteria	Cyanobacteria	Chroococcales
GCA_000014265	Trichodesmium erythraeum IMS101	203124	Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Trichodesmium.	Bacteria_Cyanobacteria_Oscillatoriales_Trichodesmium_erythraeum_IMS101	0.367665850754242	0.3683660771803284	0.3948224710498612	4394.0	0.3424847249487425	0.6170215950539012	0.574848118245578	7750108.0	2968124.0	4455135.0	37.0	45.98695302477522	54.57902202964466	60.13931592236957	45.53859515962201	49.886066075119345	59.33076691421013	52.0	2.9633555539149112	4.377798705711035	2.911428750469818	3.971282736375037	-1.7789619849761216	-3.318	-0.7474560710220894	-0.9798511999999999	16.0	16.0	0.8245334547109695	2.0	2.0	1271.0	478.152	996.0	267.754	93.73	1.5586149094294008	2.7228212593609253	2.9086844454641847	1257.0	-4.910822293284606	-7.976238008222933	3.0654157149383283	-4.614	-8.22	3.606	-0.06389939836653481	-0.06044248306246006	0.17634942054590053	-0.013444599356652953	-0.08598461057027244	0.05192680344509304	0.4065159693359979	0.1804387801547565	0.16573645880746474	Bacteria	Cyanobacteria	Oscillatoriales
GCA_000011385	Gloeobacter violaceus PCC 7421	251221	Bacteria; Cyanobacteria; Gloeobacteria; Gloeobacterales; Gloeobacter.	Bacteria_Cyanobacteria_Gloeobacteria_Gloeobacterales_Gloeobacter_violaceus_PCC_7421	0.6286342175392917	0.6305087472525561	0.6352734176042969	4430.0	0.5404910899614078	0.8934176915784202	0.8942519873818929	4659019.0	496569.0	4166337.0	43.0	42.203717510208186	50.52223894136253	58.53352049262562	36.90208991445096	46.19946788948587	56.12719469212843	54.0	0.44219220048869534	2.1020026853118368	0.1812592504938009	0.8802806908688728	-3.2142121896162625	-4.67111111111111	-1.7608705237020432	-1.4844625925925927	16.0	16.0	0.7139954853273137	1.0	1.0	1919.0	945.222	1896.0	989.1519999999999	100.0	4.690288004754468	2.8935638434801585	3.506930363128522	1116.0	-12.662759872900589	-17.754857013163868	5.092097140263277	-10.046153846153848	-17.484615384615385	7.438461538461538	-0.17490125441247173	-0.2066378935564044	0.4607854747399705	-0.04111021821761695	-0.08556174750873152	0.26093294999489447	1.221721994442964	0.21981444695259594	0.20470609480812643	Bacteria	Cyanobacteria	Gloeobacteria
GCA_000018105	Acaryochloris marina MBIC11017	329726	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Acaryochloris.	Bacteria_Cyanobacteria_Chroococcales_Acaryochloris_marina_MBIC11017	0.4843834555391029	0.4857443505312956	0.5017829125659677	5599.0	0.4028392406633856	0.8400238078983672	0.8273856639672901	6503724.0	1040441.0	5381088.0	69.0	55.365079703208494	55.41944150848548	59.13950677280796	53.13976726865296	51.56815382041111	57.71768357695455	51.0	0.4986924950153806	1.875672829056106	0.26778693335604103	1.2964313201521729	-2.571021611001966	-3.669000000000001	-1.2162866511877302	-1.168124	16.0	16.0	0.8456867297731738	2.0	2.0	2081.0	918.008	1854.0	704.936	99.54	2.9466342032375827	2.368631144787112	2.9860793391615617	729.0	-8.073984612631955	-11.799860440150294	3.72587582751834	-6.055999999999999	-12.03	5.974	-0.20677554888672797	-0.24993664336129245	0.6033813998517089	-0.024041850760026295	-0.06949344098829793	0.23090556165933956	0.5792415089039331	0.2077142346847651	0.20522664761564566	Bacteria	Cyanobacteria	Chroococcales
GCA_000210375	Arthrospira platensis NIES-39	696747	Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Arthrospira.	Bacteria_Cyanobacteria_Oscillatoriales_Arthrospira_platensis_NIES_39	0.4466310426778881	0.4479100253805838	0.4821888121359881	5586.0	0.4428286424564655	0.7905032603243605	0.7417572680595749	6788435.0	1422155.0	5035371.0	39.0	54.469035493521325	55.344482021864025	59.35978699313048	53.61806529700569	51.956836258610956	57.99726215114464	51.0	0.9335741413838516	2.2063532067323988	0.7462567257815135	1.4604440837851778	-2.5720085929108656	-3.44529411764706	-1.1587549874686902	-1.1988219607843138	16.0	17.0	0.8485499462943072	2.0	2.0	2097.0	928.1439999999999	1993.0	685.182	96.69	1.9686803047009525	2.7359830781290175	3.1941500435964256	1021.0	-7.105450466618807	-10.61605527638191	3.5106048097631013	-5.976470588235293	-11.082352941176472	5.105882352941177	-0.143439399907319	-0.15888927573099373	0.4544167257851294	-0.022953667979696737	-0.061210181024275695	0.18731741560233817	0.745909122947221	0.20924740422484786	0.23412423916935193	Bacteria	Cyanobacteria	Oscillatoriales
GCA_000196515	'Nostoc azollae' 0708	551115	Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Trichormus.	Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Nostoc_azollae	0.40271659287026296	0.4038366953842204	0.4546842470506592	3931.0	0.353490701468449	0.7153618316619045	0.5485153229872822	5354700.0	1524152.0	2937135.0	43.0	49.541222844371035	54.61722382336518	59.70245177428802	50.93685862815752	50.443300054824626	57.917293060347006	52.0	1.3506092832323096	2.9974592134217715	1.2622598020183171	2.415825217046272	-1.8679165606715995	-3.368076923076924	-0.9976485067412978	-1.0407357692307693	16.0	15.0	0.7649453065377766	4.0	4.0	1217.0	583.2959999999999	993.0	382.418	99.81	3.2226141372673287	2.4402765466830867	2.6492663944066632	483.0	-6.612230729964267	-9.185084226646248	2.5728534966819807	-5.865384615384613	-10.992307692307689	5.126923076923077	-0.07888593165444295	-0.11294919144233945	0.9926991892600537	-0.029900928033743293	-0.07642138278648566	0.08834948121399244	0.5816339963754995	0.1612068176036632	0.1553248537267871	Bacteria	Cyanobacteria	Nostocales
GCA_000317125	Chroococcidiopsis thermalis PCC 7203	251229	Bacteria; Cyanobacteria; Pleurocapsales; Chroococcidiopsis.	Bacteria_Cyanobacteria_Pleurocapsales_Chroococcidiopsis_thermalis_PCC_7203	0.4534210807057799	0.4545438014541338	0.4760759155306068	5292.0	0.3966177035136282	0.8395110225289243	0.8148046990781204	6315792.0	1013615.0	5146137.0	45.0	54.90384016365871	55.874010075615956	59.63333725305671	54.7739491323923	53.63844497021603	58.86816149662872	58.0	0.8006221403112246	2.6419113138225265	0.6671602241639839	1.666375539790092	-2.307390400604701	-3.4654545454545467	-1.118063541194276	-1.2008170909090907	16.0	17.0	0.8473167044595616	3.0	3.0	1825.0	875.43	1571.0	628.8480000000001	99.99	4.5380972304069465	2.475511692197648	2.7468289951834857	681.0	-6.900765441455097	-10.642667677150435	3.741902235695339	-6.1890909090909085	-10.75272727272727	4.563636363636364	-0.0987747338700689	-0.10312979602073313	0.219603313016094	-0.012831342193393084	-0.04001082260561702	0.13346191614724068	0.9755357740324346	0.17943499622071052	0.17803325774754347	Bacteria	Cyanobacteria	Pleurocapsales
GCA_000317655	Cyanobacterium stanieri PCC 7202	292563	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanobacterium.	Bacteria_Cyanobacteria_Chroococcales_Cyanobacterium_stanieri_PCC_7202	0.3981907407284839	0.3992589944881563	0.4239533651298357	2837.0	0.3869017018615056	0.8786361807193	0.8597023248227135	3163381.0	383920.0	2719566.0	42.0	48.11692113313055	51.783416886935434	58.359781435517284	43.740860038986405	44.68641455967244	55.28122440265714	57.0	3.1913054509270227	4.786111828348924	2.9945991027910166	3.922928021202444	-1.4541557983785836	-2.753859649122808	-0.6715833345082792	-0.7762757894736844	15.0	16.0	0.9154035953471976	3.0	3.0	647.0	271.694	531.0	147.626	98.77	2.313911806747809	2.402134750057451	3.2510560145167515	911.0	-4.300335497835498	-8.681767676767679	4.381432178932179	-4.621818181818182	-8.834545454545458	4.212727272727273	-0.26112169727887236	0.07475758208737371	-0.03850451161063543	-0.05275134616913699	-0.1370516422807455	0.19670634813600607	0.8631838071464797	0.13228974268593585	0.13513359182234755	Bacteria	Cyanobacteria	Chroococcales
GCA_000317695	Anabaena cylindrica PCC 7122	272123	Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Anabaena.	Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Anabaena_cylindrica_PCC_7122	0.3965239645323851	0.3974403523388079	0.4567950955385511	5261.0	0.3535877371874446	0.8161156727595892	0.7892083224147711	6395836.0	1176094.0	5047647.0	61.0	49.26755165743955	54.524672541287444	59.63097541347562	51.25072634592382	50.59903155331458	57.85154436991082	53.0	1.784757657483372	3.0117578464705486	1.623336346908074	2.480232401597531	-2.1891427485269124	-3.4207547169811314	-0.9053282531838234	-1.0163516981132077	16.0	17.0	0.8815814483938414	4.0	4.0	1853.0	697.914	1516.0	440.18199999999996	94.37	1.6473442603526804	2.326912473318062	2.583707495771137	686.0	-5.708061749571184	-9.221690489803699	3.5136287402325137	-6.047924528301885	-10.458490566037735	4.410566037735848	-0.09939012944514117	0.059540837790732284	0.2552737821253079	-0.02984071669507986	-0.07199751607862054	0.16142131057529796	0.5315254448730178	0.21955635810682378	0.2044892605968447	Bacteria	Cyanobacteria	Nostocales
