"","V1"
"GCA_000043285",2.96604609600982
"GCA_000007745",1.39900908102482
"GCA_000767075",1.18015157451404
"GCA_000006825",1.26764786186114
"GCA_000015885",1.4503188253271
"GCA_000007945",1.69598547408707
"GCA_000039765",1.67967826581975
"GCA_000006745",2.09941107802255
"GCA_000196095",1.97453951614873
"GCA_000011805",1.79494918556991
"GCA_000196255",1.84843315717567
"GCA_000146165",1.56435264053389
"GCA_000015285",1.69462381791113
"GCA_000012605",1.79383595876735
"GCA_000014645",2.54656454208076
"GCA_000008485",2.35156813569006
"GCA_000007765",2.54386241129376
"GCA_000008325",2.55030432467845
"GCA_000006725",2.48634794315718
"GCA_000007145",2.79530740866618
"GCA_000007385",2.78575055418369
"GCA_000348585",2.69276787599894
"GCA_000025965",2.34504593983662
"GCA_000011705",2.71888530945029
"GCA_000011545",2.61631614276135
"GCA_000009125",2.66018501086459
"GCA_000195695",2.55512231233671
"GCA_000195675",2.51230953951094
"GCA_000013605",2.43286953494727
"GCA_000176855",2.94081911970721
"GCA_000018665",2.51528280282547
"GCA_000009145",2.43696213408936
"GCA_000013705",2.28854336343198
"GCA_000007705",2.17216110570044
"GCA_000006845",1.95683193899182
"GCA_000008805",1.85047415039941
"GCA_000008385",2.87004426000521
"GCA_000013145",2.70317758484084
"GCA_000012565",2.64288457638456
"GCA_000011945",2.42520733027385
"GCA_000013125",2.51303523950137
"GCA_000007025",2.60213102136638
"GCA_000008045",2.61173955787504
"GCA_000195735",2.79069264676885
"GCA_000007105",2.05894881954743
"GCA_000013985",2.39336232213967
"GCA_000022005",2.70843033041101
"GCA_000012905",1.96632742662673
"GCA_000203895",2.10514747721918
"GCA_000018145",2.18613907419848
"GCA_000011965",2.04454074190822
"GCA_000046705",1.95036800174109
"GCA_000046685",1.85353395346166
"GCA_000740415",1.90476127049975
"GCA_000223195",1.84991351085583
"GCA_000008145",1.94429729356945
"GCA_000576515",1.73562283361934
"GCA_000006965",1.97944024046743
"GCA_000009625",2.20202162912395
"GCA_000018845",2.70205392682687
"GCA_000012725",2.43907676222171
"GCA_000195775",2.33913995670887
"GCA_000284375",2.26134972322652
"GCA_000011685",2.44165119825628
"GCA_000013085",2.12727177249936
"GCA_000012345",2.9141046475731
"GCA_000007985",1.41116223147171
"GCA_000013385",3.08727206754235
"GCA_000012685",2.91709748938613
"GCA_000067165",3.05583855558294
"GCA_000014965",1.86070500505859
"GCA_000013405",1.97602224877215
"GCA_000025945",1.87976917490953
"GCA_000691605",2.08711554414684
"GCA_000195755",2.08755625781119
"GCA_000006985",2.71950925862408
"GCA_000013045",2.97673594684834
"GCA_000007585",2.37449756139485
"GCA_000009925",2.01090952174495
"GCA_000011065",1.83898149601655
"GCA_000060345",2.12308790652949
"GCA_000011145",0.197735475436597
"GCA_000789275",0.0917669783446069
"GCA_000011645",0.198013879083629
"GCA_000007825",0.899776663459214
"GCA_000007845",0.728290252972251
"GCA_000008505",0.729160107693817
"GCA_000007645",1.58660225167933
"GCA_000009645",0.957185826218111
"GCA_000007785",0.7647162990375
"GCA_000014385",2.39861056142081
"GCA_000203855",0.499504504856069
"GCA_000008065",1.40242994684541
"GCA_000011985",1.66649911946234
"GCA_000006865",1.74317083197336
"GCA_000006885",1.22560295194724
"GCA_000011825",1.55147232953004
"GCA_000007265",1.36762747398646
"GCA_000006785",1.21358745694208
"GCA_000007465",1.67383098749271
"GCA_000582845",0.305966516177912
"GCA_000195795",0.308281316036752
"GCA_000400875",1.42698069233099
"GCA_000011445",2.50126873994306
"GCA_000012765",2.0270793971983
"GCA_000021265",2.52451440679538
"GCA_000092585",2.89870633918633
"GCA_000027345",2.88022101711308
"GCA_000027325",2.79744660565034
"GCA_000008365",2.61321386247673
"GCA_000195875",2.55449672074974
"GCA_000008405",3.08685945486938
"GCA_000009685",0.770321529568974
"GCA_000008765",0.798663235785744
"GCA_000007625",0.871599892138009
"GCA_000009905",1.0611786783928
"GCA_000016165",0.56853888101338
"GCA_000013105",0.669307745189468
"GCA_000012865",0.458378168321336
"GCA_000007085",0.469714152383141
"GCA_000018865",1.71330984967018
"GCA_000018565",1.87238973926005
"GCA_000011905",1.98819672161656
"GCA_000011385",2.72122546781317
"GCA_000018105",2.75010537448305
"GCA_000340785",2.81978426901228
"GCA_000204075",2.8137095906788
"GCA_000009705",2.81223576540904
"GCA_000014265",2.92058915990093
"GCA_000007925",2.89936517386227
"GCA_000195975",2.93896509804779
"GCA_000010065",2.81091042292093
"GCA_000011345",2.75862033688297
"GCA_000008565",2.86780167174423
"GCA_000008125",2.25725450008338
"GCA_000018605",1.02863908622576
"GCA_000390265",-0.0708506714872552
"GCA_000008625",2.28328054021322
"GCA_000203835",2.57997869743514
"GCA_000742735",2.27332379617012
"GCA_000756545",2.66840380571025
"GCA_000195835",2.69319117605641
"GCA_000195855",2.63239354131132
"GCA_000007865",2.75623264376884
"GCA_000009805",2.65157951873427
"GCA_000014565",2.35977872476976
"GCA_000008345",2.42285749248199
"GCA_000007525",1.90870018777373
"GCA_000014925",2.24291722990717
"GCA_000007485",2.70325969891723
"GCA_000007665",2.68509876995801
"GCA_000014185",2.54815062000411
"GCA_000092565",2.74696725259185
"GCA_000410535",2.12393037892964
"GCA_000008185",2.17112646320186
"GCA_000769595",2.53172599175961
"GCA_000196215",2.41656682478307
"GCA_000025185",2.46675720736405
"GCA_000590735",2.40685909287519
"GCA_000008745",2.54720510627225
"GCA_000026025",2.46370146338241
"GCA_000007605",2.46293754258928
"GCA_000011565",2.30163133041678
"GCA_000196135",1.38198358588866
"GCA_000685745",1.36607354165886
"GCA_000007905",1.10708560858178
"GCA_000009085",1.46064354396093
"GCA_000014025",1.55969361491979
"GCA_000006765",1.91267514443794
"GCA_000007805",2.06662919090891
"GCA_000007565",2.303438259747
"GCA_000046845",1.89307355794777
"GCA_000009365",1.88003742647019
"GCA_000026085",1.84477713354126
"GCA_000012325",1.99700117064752
"GCA_000014805",1.87914286493273
"GCA_000010085",2.35582909633618
"GCA_000196155",1.79665668325913
"GCA_000011605",1.54910290814006
"GCA_000009065",1.75634601688231
"GCA_000750315",1.7551113326572
"GCA_000017665",1.44196924303706
"GCA_000801205",1.60376363686977
"GCA_000006945",1.58535494177877
"GCA_000007365",2.9519488115734
"GCA_000007725",2.96530324592595
"GCA_000008885",3.21768739434423
