#Id	Organism	TaxonID	Full_Taxonomy	Banfield_tree_name	CDS_GC	CDS_GC_nostartstop	Ribo_prot_GC_nostartstop	CDS_number	Intragenic_GC	Gene_density	Coding_density	Genome_length	Intragenic_length	CDS_length	tRNA_number	All_NC_wright	All_NC_novembre	All_NC_info	Ribo_NC_wright	Ribo_NC_novembre	Ribo_NC_info	Ribo_prot_number	Information_content_all(-20_-4)	Information_content_ribo(-20_-4)	Information_content_all_mean_random(-20_-4)	Information_content_ribo_mean_random(-20_-4)	Mean_binding_all	Mean_binding_ribo	Mean_binding_all_mean_random	Mean_binding_ribo_mean_random	Location_of_best_binding_all	Location_of_best_binding_ribo	ATG_start_percent	16s_copies	23s_copies	CDS_with_SD_utr_motif	Expected_CDS_with_SD_utr_motif	CDS_with_SD_utr_binding	Expected_CDS_with_SD_utr_binding	RP_information_percentile	RP_information_zscore	aSD_binding_score_ribosome	aSD_binding_score_all	Internal_SD_seqs	Mean_folding_init	Mean_folding_internal	Mean_folding_diff	Mean_folding_init_ribo	Mean_folding_internal_ribo	Mean_folding_diff_ribo	aSD_binding_summary	folding_energy_init_summary	folding_energy_diff_summary	NC_summary_info	NC_summary_novembre	SD_summary_all_info	SD_summary_ribo_info	SD_summary_all_motif_diff	SD_summary_all_binding_diff	Domain	Phylum	Class
GCA_000010045	Desulfitobacterium hafniense Y51	138119	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfitobacterium.	Bacteria_Firmicutes_Clostridia_Clostridiales_Peptococcaceae_Desulfitobacterium_hafniense_Y51	0.4845157582717127	0.4859122184099896	0.4825025960539979	5164.0	0.4747472997949719	0.867319163884492	0.8461206864943971	5727534.0	759934.0	4846185.0	58.0	54.22646791523036	53.398584712596225	58.869504277644346	50.82552108521185	48.415525934158495	57.25817124963599	50.0	4.043720326864726	7.420106370124969	1.3637229367573187	2.314448595218859	-6.937026922332006	-9.8266	-2.1534501530118155	-2.4927512000000003	16.0	15.0	0.7893106119287374	6.0	6.0	4455.0	1927.2479999999998	4557.0	1612.576	100.0	4.802927699388548	2.649766890849609	3.5675891219340166	1539.0	-8.067702152414194	-12.255117316269148	4.187415163854953	-7.995833333333334	-12.779166666666667	4.783333333333334	-0.2572667983096802	-0.00890821422545379	0.1423116997383598	-0.027371268839106833	-0.09331818072066381	2.679997390107407	5.10565777490611	0.48949496514329977	0.5701828040278853	Bacteria	Firmicutes	Clostridia
GCA_000014385	Oenococcus oeni PSU-1	203123	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Oenococcus.	Bacteria_Firmicutes_Bacilli_Lactobacillales_Leuconostocaceae_Oenococcus_oeni_PSU_1	0.3891521885893472	0.390143744208426	0.4284874320152874	1662.0	0.3791266433842699	0.8872035481829154	0.8244285227268259	1780517.0	200836.0	1467909.0	42.0	50.71897326347523	54.574682083048344	58.78438505214136	42.86841366435127	44.9822295956116	55.628669082929115	51.0	2.775019029828791	5.837459475989281	2.176878946944866	2.6950140540048713	-3.9268392534617664	-7.229019607843138	-1.246521264298615	-1.6634729411764706	17.0	17.0	0.8531889290012034	2.0	2.0	1031.0	338.074	969.0	220.11	100.0	5.7606449460982665	2.235002314562607	2.4062950315033294	107.0	-5.866325301204818	-9.339843373493977	3.4735180722891568	-5.74313725490196	-10.894117647058824	5.150980392156862	-0.0711852514750478	-0.02099918432371251	0.4829289167228099	-0.053682894979902335	-0.17576744602633781	0.598140082883925	3.1424454219844096	0.41692298435619735	0.450595667870036	Bacteria	Firmicutes	Bacilli
GCA_000269945	Lactococcus garvieae Lg2	420890	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus.	Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Lactococcus_garvieae_Lg2	0.3966513286531969	0.3978372927539652	0.4209138840070299	1895.0	0.3845775153067961	0.8851979975193028	0.8601313466030945	1963964.0	225467.0	1689267.0	62.0	48.528352393792346	52.149684028662946	59.01499614398461	33.64805366303865	34.52790793499481	45.84549114227206	53.0	4.157767504123584	6.374750820119082	2.7891138327015588	3.8143092479288576	-4.64474656810982	-6.421509433962264	-1.3963678141499498	-1.3583611320754716	17.0	16.0	0.8981530343007915	5.0	5.0	1401.0	481.25	1304.0	313.934	99.61	2.843416198563497	1.3397083038420927	2.585560327980477	234.0	-4.992563424947146	-9.117875264270614	4.1253118393234685	-5.125490196078432	-10.019607843137253	4.894117647058824	-0.4818499149511206	0.026624953919878045	0.1863630769453385	-0.2231552293857926	-0.3379076292002596	1.3686536714220257	2.560441572190224	0.48535620052770445	0.5224622691292875	Bacteria	Firmicutes	Bacilli
GCA_000281195	Enterococcus faecalis D32	1206105	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus.	Bacteria_Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus_faecalis_D32	0.3808957714408663	0.3819220858142892	0.4009648518263267	2844.0	0.3129492820540677	0.88838976384542	0.8649915479756983	2987450.0	333430.0	2584119.0	61.0	46.70741531504174	52.07814893975503	58.39530802679297	37.51199443910848	39.68655629797161	51.22114169343821	58.0	4.487452042053706	6.600113576779246	2.3452122854911224	2.628009923720072	-6.2679043600562485	-9.148103448275867	-1.7707343389592165	-1.801823103448276	16.0	14.0	0.8533755274261603	4.0	4.0	2353.0	940.63	2341.0	674.944	99.8	2.9281609006834226	1.7297965113078653	2.366075806739869	287.0	-5.538973438621678	-8.543531945441494	3.004558506819813	-5.427222222222222	-9.416666666666668	3.9894444444444446	-0.26891754423908765	-0.020175438217530768	0.3277972239146336	-0.12285518435938551	-0.2379422635800332	2.1422397565625833	3.972103653059174	0.4966139240506329	0.5858143459915611	Bacteria	Firmicutes	Bacilli
GCA_000271865	Streptococcus mutans GS-5	1198676	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_mutans_GS_5	0.37549765594018186	0.3764108427007621	0.4067541302235179	1820.0	0.3142752235830995	0.8688108261703488	0.8235093888375837	2027088.0	265932.0	1669326.0	64.0	46.425835953299035	52.40134842030908	58.60898474694624	36.85540760091283	39.5873577027979	51.28565953978993	55.0	4.514146831409354	7.0303466601877975	2.7253910805950445	4.261285628183188	-5.271423076923075	-6.9312727272727255	-1.3934261538461554	-1.4278607272727273	17.0	15.0	0.90989010989011	5.0	5.0	1448.0	449.834	1378.0	293.74	99.97	3.5294772972163035	1.6751769876122358	2.4811727289234917	201.0	-5.345197771587745	-8.941615598885795	3.59641782729805	-5.3352941176470585	-9.941176470588236	4.605882352941176	-0.32484467200353034	-0.0018528133782679938	0.28068610882221273	-0.12495226182087862	-0.24453551490184333	1.7887557508143095	2.7690610320046094	0.5484428571428571	0.5957472527472527	Bacteria	Firmicutes	Bacilli
GCA_000191905	Clostridium acetobutylicum EA 2018	863638	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium.	Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium_acetobutylicum_EA_2018	0.3148838384240333	0.3153801898865066	0.3352918696856788	3705.0	0.23344285082454036	0.8797732619669411	0.8610053220243489	3940230.0	473721.0	3392559.0	74.0	39.550026764559966	53.34708614750422	59.446752857602355	36.20408689028418	47.42720029552461	57.301193303835184	57.0	5.711313979072836	8.180954668882643	3.5152429301457118	3.5250595556902766	-6.738080971659905	-9.677719298245616	-1.5367157678812469	-1.9887768421052636	16.0	15.0	0.8024291497975709	11.0	11.0	3160.0	1016.93	3263.0	684.3760000000001	99.99	3.7083328987151183	2.4807107463422646	2.8836142333484807	871.0	-4.855521088435374	-6.758002721088436	1.9024816326530611	-5.546296296296298	-7.781481481481482	2.235185185185185	-0.13972170144907373	0.1422659268242446	0.1748787198897473	-0.0360921236338443	-0.11096924461087121	2.196071048927124	4.655895113192367	0.5784264507422403	0.6959848852901483	Bacteria	Firmicutes	Clostridia
GCA_000195795	Listeria innocua Clip11262	272626	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	Bacteria_Firmicutes_Bacilli_Bacillales_Listeriaceae_Listeria_innocua_sv._6a_Clip11262	0.37821287531280745	0.3792047166099027	0.4040208419790658	2980.0	0.30622223987021163	0.9044337023546696	0.8870101301537456	3011208.0	287770.0	2670972.0	66.0	48.0390128397534	53.364799463276576	59.13500839793512	39.65611241474754	41.238710046094425	53.01894384075699	58.0	5.229353462143751	6.830837915494008	2.437406315892148	2.6051540015696166	-6.988607382550303	-9.69	-1.8536207315436275	-1.9752448275862071	15.0	15.0	0.8318791946308725	6.0	6.0	2685.0	1023.0880000000001	2738.0	750.7080000000001	97.77	2.081809536138906	1.775388770276367	2.403527583434022	253.0	-5.493142664872139	-7.93077725437416	2.437634589502019	-6.8500000000000005	-9.453703703703702	2.603703703703704	-0.26134038048367486	0.24700930194381615	0.0681271569237173	-0.10342544497536063	-0.22723011309218577	2.7919471462516032	4.225683913924392	0.5576885906040268	0.6668765100671141	Bacteria	Firmicutes	Bacilli
GCA_000012865	Carboxydothermus hydrogenoformans Z-2901	246194	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Carboxydothermus.	Bacteria_Firmicutes_Clostridia_Thermoanaerobacterales_Thermoanaerobacteraceae_Carboxydothermus_hydrogenoformans_Z_2901_DSM_6008	0.42517931006187737	0.4264015335712797	0.4543099152964624	2406.0	0.34103616163659217	0.9091225557147141	0.8931380958726141	2401520.0	218244.0	2144889.0	47.0	52.109704328730324	51.97257352743825	58.40909478178765	50.02896001248319	48.00658085939108	57.56437781829594	56.0	4.514379823784532	7.626662363175439	1.8796152625189981	3.006516814965375	-7.327772236076442	-9.959454545454543	-2.124151895261848	-2.846107636363637	16.0	16.0	0.7381546134663342	4.0	4.0	1961.0	888.3760000000001	2118.0	735.826	100.0	4.567145023486066	2.948562716939123	3.4740166782454915	528.0	-7.9164125	-10.163316666666667	2.2469041666666665	-7.784615384615384	-10.688461538461537	2.9038461538461533	-0.1512525730221141	-0.016648591187563337	0.2923765049374915	-0.014462079349928592	-0.07630933776934053	2.634764561265534	4.620145548210063	0.445812136325852	0.57446965918537	Bacteria	Firmicutes	Clostridia
GCA_000011245	Oceanobacillus iheyensis HTE831	221109	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus.	Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Oceanobacillus_iheyensis_HTE831	0.3610035476997231	0.3618907373214002	0.3952910276253459	3432.0	0.314783974365731	0.8540363825867753	0.8367220966206569	3630528.0	529925.0	3037743.0	68.0	45.83011329476798	54.86056087550868	60.25626606526335	40.66292593433863	42.699627570057004	54.46434886288908	56.0	5.33231349117411	7.609800047311322	2.355125252164444	2.444283058912303	-6.964688228438216	-10.011607142857144	-1.8194270454545491	-2.125141785714286	16.0	15.0	0.8237179487179487	7.0	7.0	3004.0	1135.644	3108.0	827.1439999999999	99.96	3.3758270961806582	1.90219448775493	2.7982928948509973	439.0	-5.907175817757008	-7.842932242990654	1.9357564252336448	-6.46867924528302	-8.69433962264151	2.22566037735849	-0.3202303835831247	0.09505446339317158	0.14976261907014163	-0.09612140911786768	-0.22166986832394317	2.9771882390096662	5.165516988399019	0.5443927738927739	0.6645850815850817	Bacteria	Firmicutes	Bacilli
GCA_000011985	Lactobacillus acidophilus NCFM	272621	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus.	Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_acidophilus_NCFM	0.3521680020760276	0.352984984943344	0.4061737257717157	1832.0	0.34407367959392765	0.903203314673248	0.8737073376271595	1993560.0	192970.0	1741788.0	60.0	41.97615483097224	50.44893495473442	58.42279864440352	34.956113583931106	36.136541385886375	48.481570317805996	56.0	4.35211057093998	6.3644329914318805	2.9813513362818216	3.3461555272613785	-5.0455567685589555	-8.014642857142857	-1.3618190720524035	-1.640207857142857	16.0	15.0	0.8362445414847162	4.0	3.0	1377.0	438.42199999999997	1315.0	280.052	99.71	2.8292574337671628	1.4742430697532567	1.9700552115665209	69.0	-5.402438202247192	-8.355224719101123	2.9527865168539327	-5.674509803921568	-9.741176470588234	4.066666666666666	-0.25167423679411055	0.05036089104382629	0.3772301666425669	-0.17016008402996666	-0.28370060897598565	1.3707592346581587	3.018277464170502	0.5123242358078602	0.5649279475982533	Bacteria	Firmicutes	Bacilli
