#Id	Organism	TaxonID	Full Taxonomy	 Doubling Time	CDS_GC	CDS_GC_nostartstop	Ribo_prot_GC_nostartstop	CDS_number	Intragenic_GC	Gene_density	Coding_density	Genome_length	Intragenic_length	CDS_length	tRNA_number	All_NC_wright	All_NC_novembre	All_NC_info	Ribo_NC_wright	Ribo_NC_novembre	Ribo_NC_info	Ribo_prot_number	Information_content_all(-20_-4)	Information_content_ribo(-20_-4)	Information_content_all_mean_random(-20_-4)	Information_content_ribo_mean_random(-20_-4)	Mean_binding_all	Mean_binding_ribo	Mean_binding_all_mean_random	Mean_binding_ribo_mean_random	Location_of_best_binding_all	Location_of_best_binding_ribo	ATG_start_percent	16s_copies	23s_copies	CDS_with_SD_utr_motif	Expected_CDS_with_SD_utr_motif	CDS_with_SD_utr_binding	Expected_CDS_with_SD_utr_binding	RP_information_percentile	RP_information_zscore	aSD_binding_score_ribosome	aSD_binding_score_all	Internal_SD_seqs	Mean_folding_init	Mean_folding_internal	Mean_folding_diff	Mean_folding_init_ribo	Mean_folding_internal_ribo	Mean_folding_diff_ribo
GCA_000018105	Acaryochloris marina MBIC11017	329726	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Acaryochloris.	45.0	0.4843834555391029	0.4857443505312956	0.5017829125659677	5599.0	0.40283924066338556	0.8400238078983672	0.8273856639672901	6503724.0	1040441.0	5381088.0	69.0	55.36507970320848	55.41944150848548	59.13950677280795	53.13976726865296	51.568153820411105	57.71768357695455	51.0	0.4986924950153806	1.875672829056106	0.2678659226567106	1.2894955029339512	-2.5710216110019752	-3.6689999999999987	-1.2159387533488306	-1.1664148000000003	16.0	16.0	0.8456867297731738	2.0	2.0	2081.0	919.678	1854.0	707.052	99.58	2.9285139839282293	2.3686311447871122	2.986079339161562	729.0	-8.073984612631955	-11.799860440150296	3.7258758275183395	-6.056	-12.03	5.973999999999998
GCA_000176855	Acidovorax avenae subsp. avenae ATCC 19860	643561	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax.	11.0	0.6951185048126761	0.6972116282629134	0.6314736507070432	4632.0	0.612937023485227	0.8972425152813576	0.8810483804770739	5482170.0	563334.0	4830057.0	51.0	32.29353533372905	44.96568889991802	56.84206742839804	31.1890065341441	39.20037225890434	50.692585653998776	53.0	1.134861073257192	3.996958953032291	1.1042320746953382	1.1300974807365218	-3.3784822970639024	-5.9600000000000035	-1.5508265457685821	-1.7329562264150946	16.0	17.0	0.9024179620034543	3.0	3.0	2236.0	741.144	2122.0	870.628	100.0	7.04556837304801	1.960267601137734	3.3824064175097126	1392.0	-12.435907519446847	-21.90417026793431	9.468262748487469	-10.428846153846155	-16.71153846153846	6.282692307692307
GCA_000046845	Acinetobacter sp. ADP1	62977	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter.	0.5	0.41546120353872723	0.41668264233355845	0.44028048667223924	3222.0	0.30187925250549474	0.8822193279036609	0.8707343729723136	3598621.0	423848.0	3133443.0	75.0	47.43849668315789	50.783530582013505	58.21544769992977	38.461719144945846	39.36508455405123	50.34648155294987	55.0	2.4250831514738147	4.152438534478453	1.2946062149770998	1.1168518609585367	-3.7724456859093607	-5.899818181818182	-1.1218495965239048	-1.482828	17.0	17.0	0.9199255121042831	7.0	7.0	1830.0	542.656	1492.0	350.952	99.72999999999999	2.894201974173283	1.2087864582918046	2.104483554412053	165.0	-6.541096613855235	-9.998943771357565	3.45784715750233	-9.19245283018868	-11.133962264150941	1.9415094339622645
GCA_000015885	Actinobacillus pleuropneumoniae serovar 5b str. L20	416269	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Actinobacillus.	0.75	0.4229902703513658	0.42435603316741355	0.42366936821650314	2042.0	0.33404260614205367	0.8878676551408189	0.8557196759525906	2274482.0	255043.0	1946319.0	61.0	45.12822357648024	46.28030372383361	56.21963138551281	36.34801393403119	37.26799593254394	48.833278281752996	57.0	3.577949386737904	5.856266619334095	1.9827003744081866	2.6653251399177833	-4.175484818805078	-5.7841818181818185	-1.0116147208618989	-1.2627549090909092	17.0	16.0	0.93486777668952	9.0	6.0	1395.0	318.066	1167.0	194.13	99.92	3.3373507639541296	1.2770039137652622	2.053490693036338	47.0	-5.432226581657675	-10.351309465424228	4.919082883766551	-6.961538461538461	-10.326923076923077	3.3653846153846154
GCA_000014805	Aeromonas hydrophila subsp. hydrophila ATCC 7966	380703	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas.	0.35	0.6280975276131165	0.6300847604421875	0.5431927487976322	4119.0	0.5151043821185296	0.8853394536097772	0.8752261590810986	4744448.0	544001.0	4152465.0	126.0	37.19517709594848	45.53149349464954	56.89858997805176	35.75993608161837	36.751519187377184	48.72130659223062	55.0	1.258108691384898	3.4103015384986937	0.11300831524233239	1.2362789299331796	-4.6380917698470325	-5.595090909090908	-1.695409429473184	-1.7586472727272728	17.0	16.0	0.8264141781985919	10.0	10.0	2702.0	935.572	2593.0	877.31	99.99	4.675582800105088	1.708934368051179	3.424428767044153	1611.0	-10.838117473580732	-17.852840992872938	7.014723519292208	-9.59433962264151	-14.137735849056606	4.543396226415094
GCA_000011125	Aeropyrum pernix K1	272557	Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Aeropyrum.	4.0	0.569718436790548	0.5712656265188082	0.5651148217774338	1700.0	0.4818553131408209	0.8895637289662309	0.8871896441028786	1669696.0	184395.0	1481337.0	45.0	45.356081089552134	48.12113978578135	56.51842268644791	41.76684224913411	44.80132438014783	52.91197254749525	66.0	2.8084663586884604	6.111509867362871	0.8332367626362143	2.1858094101251044	-5.444229411764709	-7.207878787878789	-2.660602188235296	-3.3144712121212123	15.0	14.0	0.31882352941176473	1.0	0.0	715.0	535.49	1288.0	690.77	100.0	7.186567980471958	5.061786335984799	4.8978130462852985	3724.0	-14.870189461219656	-15.440023682652457	0.5698342214328005	-14.042424242424241	-14.540909090909091	0.4984848484848487
GCA_000576515	Agrobacterium tumefaciens LBA4213 (Ach5)	1435057	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium; Agrobacterium tumefaciens complex.	3.0	0.5957936080624653	0.5976369383622891	0.589737129419669	4450.0	0.5140933773722219	0.8888993650230228	0.8797900582719556	4868208.0	540861.0	4283001.0	55.0	43.8100683217716	49.3212951146631	57.61828215177598	36.10841821687461	40.09779119614035	50.92180189312519	57.0	1.5797316421099263	4.411376068570052	0.28397425890993805	1.8531030672538746	-4.812476404494369	-5.530357142857142	-1.9447417887640528	-1.9964385714285713	17.0	16.0	0.8925842696629214	5.0	5.0	3124.0	1253.788	2938.0	1170.61	100.0	6.722762017989673	1.8416841612402481	2.878767753143937	741.0	-10.80211464680659	-16.80072218460844	5.998607537801851	-9.633333333333335	-15.800000000000002	6.166666666666667
GCA_000009365	Alcanivorax borkumensis SK2	393595	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Alcanivorax.	10.0	0.5528019486420235	0.5545221009628893	0.5380353817504655	2744.0	0.545658887437726	0.8774440786848552	0.8676256184412061	3120143.0	382392.0	2707116.0	41.0	49.48193864281047	51.30098351492717	58.0160569741222	43.63218177328741	43.530361311952795	53.75684425729645	53.0	1.2593762192153888	3.6035493446638736	0.11521488943889312	1.200908206606673	-4.505621582209256	-5.900377358490567	-1.6829525045570608	-2.1486003773584907	17.0	16.0	0.8833819241982507	3.0	3.0	1776.0	652.424	1659.0	576.088	100.0	5.303925524216426	2.018594275160152	2.961492070453755	305.0	-9.93021152443472	-15.126987600291757	5.196776075857039	-10.069230769230769	-15.428846153846154	5.359615384615385
GCA_000204075	Anabaena variabilis ATCC 29413	240292	Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Anabaena.	8.0	0.4260760246692104	0.4270618441224999	0.4383668380863332	5103.0	0.36356079123908386	0.8135335391366195	0.806513570928573	6402878.0	1193922.0	5164008.0	46.0	52.273028613329245	55.10512706747121	59.58948771958095	50.723555583216324	50.850014366788365	58.16313801565395	56.0	1.3040392583791682	2.599876598544048	1.1399798178319525	2.30997011521514	-2.308114834411142	-3.416727272727271	-1.002097938467585	-1.0808243636363637	16.0	15.0	0.8557711150303743	4.0	4.0	1790.0	752.252	1517.0	500.138	97.91	2.1694256341396136	2.267929007822483	2.6160957448423026	529.0	-6.309575221238939	-10.02937069813176	3.719795476892822	-6.0527272727272745	-11.04072727272727	4.9879999999999995
GCA_000013385	Anaeromyxobacter dehalogenans 2CP-C	290397	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Anaeromyxobacteraceae; Anaeromyxobacter.	9.2	0.7491363858472949	0.751356423882824	0.6882804995196926	4411.0	0.7484348520805506	0.9123804049044586	0.9041595666402512	5013479.0	439279.0	4532985.0	48.0	28.886540839463645	44.63378734659029	58.873315539697295	28.445758787257926	39.99099560869253	56.49623244869147	54.0	2.7767727189203395	3.5210195442187153	2.8998794922480644	2.097555935293424	-4.767523809523789	-5.740000000000001	-2.5295282086167883	-2.448394444444445	17.0	17.0	0.7186579007027885	2.0	2.0	2577.0	1007.24	2865.0	1686.738	59.43000000000001	0.21058685808023506	3.2864135792483347	4.0050178067054105	3469.0	-19.750102063960085	-25.408958947607168	5.658856883647086	-14.330188679245284	-19.766037735849054	5.435849056603774
GCA_000011945	Anaplasma marginale str. St. Maries	234826	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Anaplasmataceae; Anaplasma.	21.6	0.4978012682452741	0.49877023629964806	0.5066723251756495	937.0	0.49687648587724087	0.8624431925870448	0.8350445483669774	1197687.0	164750.0	1000122.0	36.0	57.65058171650004	57.97061203694549	60.08351993479189	52.64020078212579	53.46323910559479	58.05398476961018	50.0	1.2425666486193208	6.069443257386669	0.6706854757882874	3.396705697967859	-3.310629669156888	-5.3862	-1.9199474706510145	-2.4293212000000004	18.0	17.0	0.7171824973319103	1.0	1.0	311.0	200.39	371.0	233.1	100.0	11.711096572917231	3.605418533048076	3.629079134605333	434.0	-10.946096256684493	-13.011625668449197	2.065529411764706	-8.745833333333332	-13.558333333333332	4.8125
GCA_000013125	Anaplasma phagocytophilum str. HZ	212042	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Anaplasmataceae; Anaplasma; phagocytophilum group.	7.0	0.42629173071320214	0.42705824541820103	0.4495121397776265	1058.0	0.38941134120033527	0.7037590346378193	0.6765324390565507	1471282.0	435854.0	995370.0	36.0	53.40534825546153	57.86826694565803	59.95752732202476	46.91100225935242	52.69490104731708	56.558917414332704	52.0	1.5132864403631299	4.953084703904411	1.0336006901448231	3.5725735215596677	-2.8098015122873305	-5.228653846153846	-1.556679300567108	-2.316639615384615	18.0	18.0	0.7277882797731569	1.0	1.0	347.0	213.896	335.0	194.1	100.0	8.7794891832384	3.329136469890988	3.2263057761168734	318.0	-8.947303689687795	-10.755912961210974	1.808609271523179	-8.311764705882354	-11.962745098039214	3.6509803921568627
GCA_000008625	Aquifex aeolicus VF5	224324	Bacteria; Aquificae; Aquificales; Aquificaceae; Aquifex.	1.8	0.436273581132568	0.4373642497832233	0.4620487636770914	1497.0	0.4346747158759659	0.9411216790699624	0.9186835854280345	1551335.0	91340.0	1425186.0	43.0	48.104368807838256	48.261565678526466	56.88604034521133	45.173613616612684	44.838307077044796	54.40635547008236	55.0	2.127763890969055	4.65383236312735	1.406898181163441	2.027680928003263	-3.640180481283449	-8.664363636363635	-1.4112114304812826	-2.247180363636364	16.0	16.0	0.8323313293253173	2.0	2.0	736.0	357.268	649.0	269.428	100.0	5.06675240457886	3.7798034807846204	3.88792952805625	1014.0	-7.664551539491298	-9.517001338688086	1.8524497991967872	-9.560377358490566	-9.90566037735849	0.3452830188679246
GCA_000008665	Archaeoglobus fulgidus DSM 4304	224325	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus.	4.0	0.4938625204582651	0.4952759247469575	0.5128546635993058	2353.0	0.3962948280363169	0.9221116415717958	0.902027175908924	2178400.0	169672.0	1964976.0	45.0	49.15202438766523	49.470028537156296	57.37963628579063	46.12233668607752	46.85569873975616	54.28249493889267	60.0	1.0116050408845743	4.353805029414483	0.7329750091304974	1.6834874685367682	-3.266872078198064	-5.958166666666665	-1.6784372545686441	-2.609016333333333	16.0	17.0	0.8176795580110497	1.0	1.0	1009.0	589.438	957.0	541.892	100.0	9.321949733946425	4.400415518668196	4.3285386336824185	2890.0	-9.324872340425532	-11.673748936170211	2.348876595744681	-9.716949152542371	-11.999999999999998	2.2830508474576274
GCA_000014025	Arcobacter butzleri RM4018	367737	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Arcobacter.	0.66	0.27190882046725795	0.27224323480255325	0.3139908807295416	2255.0	0.26790993241185546	0.9430441247008544	0.9316724264079332	2341251.0	133348.0	2181279.0	53.0	32.72175552459157	49.609290065017916	59.437961238212985	31.842746349207133	42.38905622835188	54.62281980076026	53.0	6.202888734687219	7.532339787889878	4.722453510347759	4.041121318415828	-3.987808340727601	-5.813396226415096	-0.8561130523513724	-1.2635988679245282	17.0	17.0	0.8492239467849224	5.0	5.0	1642.0	316.592	1201.0	164.226	87.1	1.1311971982669504	1.906813632171701	2.0681316727824774	162.0	-3.9384355555555555	-6.183888888888889	2.2454533333333337	-4.052941176470589	-7.1184313725490185	3.065490196078432
GCA_000014925	Paenarthrobacter aurescens TC1	290340	Bacteria; Actinobacteria; Micrococcales; Micrococcaceae; Arthrobacter.	2.0	0.628072497726328	0.6298843081823104	0.6119575539865395	4093.0	0.6226749527134631	0.9066969775665411	0.8941869888461282	4597686.0	428978.0	4111191.0	53.0	43.46460647181689	52.566170800219155	59.05744017978548	34.06473720157185	39.622152395695615	50.85140105817925	56.0	1.1946650651183692	3.2769058529372215	0.4314288550418804	1.1834271131555707	-3.8919623655913926	-5.642142857142859	-1.8820735434995208	-1.855189642857143	17.0	16.0	0.7380894209626191	6.0	6.0	2402.0	1023.882	2311.0	1017.188	100.0	5.0236298024573784	2.3440304819628466	3.3420651631653717	612.0	-12.616977256052824	-17.728613352898016	5.111636096845194	-11.288679245283017	-17.20943396226415	5.920754716981132
GCA_000025965	Aromatoleum aromaticum EbN1	76114	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Aromatoleum.	4.3	0.656691372287377	0.6587540817870102	0.6198652266223577	3868.0	0.603540300906739	0.8906005963367883	0.8655465373129465	4296230.0	470005.0	3718587.0	55.0	37.026025498977255	47.515947036962324	57.97810224225905	37.23109704847458	43.9961674747815	55.70751389526353	52.0	1.2345140220307749	2.986021296902348	0.5784851866447902	0.9378915269488054	-4.397197518097208	-6.100961538461538	-1.914380336091013	-2.054588846153846	17.0	17.0	0.8554808686659773	4.0	4.0	2351.0	916.596	2259.0	999.254	99.79	3.3966725707169174	2.223184848976913	2.992285632882136	754.0	-12.725095656670113	-19.755713547052743	7.030617890382627	-10.871153846153847	-17.73461538461538	6.86346153846154
GCA_000007845	Bacillus anthracis str. Ames	198094	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	0.5	0.36043522485444524	0.36139422576975183	0.40754347293656623	5326.0	0.2884273503933958	0.8576259260768432	0.8100401106270492	5227293.0	744231.0	4234317.0	94.0	44.55445286036594	52.605619771665936	59.36424425981212	37.10178916748361	38.00848670472564	50.37587302896563	55.0	4.708847419501041	7.222600196265498	2.3556647394772394	2.475209305494991	-6.388745775441221	-10.06636363636364	-1.8281452910251632	-1.9431709090909088	16.0	15.0	0.8251971460758543	11.0	11.0	4314.0	1774.946	4440.0	1317.276	99.96000000000001	3.3516754012803096	1.814536335582855	2.5684025611991315	455.0	-5.902658377738307	-7.792054470100652	1.8893960923623445	-7.0	-9.886000000000001	2.8859999999999997
GCA_000007825	Bacillus cereus ATCC 14579	226900	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	0.3	0.3588792628931078	0.3597421642875083	0.4059061150578075	5210.0	0.2949612267622724	0.8445551201086365	0.8039945607836493	5411809.0	841238.0	4351065.0	107.0	44.52804866891362	52.81764195846365	59.48649502365761	37.38653743651395	38.49475867045589	51.066647404509794	57.0	4.537105158855655	6.729535545350804	2.363936579432016	2.452501892936585	-6.110690978886759	-9.514385964912284	-1.8172580844529784	-1.8280301754385964	16.0	15.0	0.7554702495201535	13.0	13.0	4176.0	1729.642	4223.0	1275.772	99.81	2.9851345270517395	1.792126821996589	2.579758704668731	490.0	-5.989740082079344	-7.751934727379324	1.7621946452999808	-6.790196078431372	-9.749019607843136	2.9588235294117644
GCA_000011145	Bacillus halodurans C-125	272558	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	0.6	0.4432300774597202	0.4445324442294189	0.4473201174743025	3903.0	0.37804763158594	0.8610147365094595	0.8348360632331608	4202352.0	584065.0	3508275.0	77.0	55.68617481939009	56.37544567077076	59.55533559965377	44.83936632909551	44.3206639750259	54.98044065728713	57.0	4.369240870640076	6.937007463560627	1.4591199421218757	2.3863224561711003	-6.875784213223966	-10.004642857142859	-2.2044496002050256	-2.3878000000000004	15.0	15.0	0.7991288752241865	8.0	8.0	3399.0	1526.066	3470.0	1264.422	99.99	3.7671822538861934	2.1865263687912724	3.1926459633195856	993.0	-7.656016448213826	-10.270151631971217	2.6141351837573885	-8.07777777777778	-11.246296296296295	3.1685185185185185
GCA_000011645	Bacillus licheniformis DSM 13 = ATCC 14580	279010	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	0.58	0.47149400243170175	0.4729873641708293	0.4410807291666667	4158.0	0.36935733844636526	0.8821838787836016	0.8653989476144657	4222597.0	497490.0	3654231.0	71.0	53.801056866119744	53.05917256249783	58.530765129288284	44.87362821380388	43.783710217288764	54.38936568678182	56.0	4.448759993764785	6.947759441347321	1.538931313372731	2.6222057277461506	-6.807053872053867	-9.911428571428573	-2.0081811688311717	-2.082380714285714	15.0	15.0	0.7811447811447811	7.0	7.0	3641.0	1505.48	3746.0	1176.104	99.99	3.7835556684630887	2.256470071526485	3.1024531570413347	710.0	-7.351798595981602	-11.198809005083515	3.8470104091019124	-7.187777777777776	-10.633333333333333	3.445555555555556
GCA_000789275	Bacillus subtilis subsp. subtilis str. 168	224308	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	0.43	0.4425941117046499	0.4439398606791699	0.42765619154508044	4100.0	0.346562857916668	0.8877766230771804	0.8744537872136927	4215619.0	473091.0	3686364.0	85.0	54.88354952975157	54.94682505687734	59.14219776842093	41.500817415473186	41.19196411337597	52.91440543080256	56.0	4.603969703165101	7.343501535959088	1.5826106675467722	2.6978880106847667	-6.955724390243893	-10.043035714285718	-2.0007051560975646	-2.088005	16.0	15.0	0.7851219512195122	10.0	10.0	3642.0	1472.886	3742.0	1148.812	100.0	4.415792211503294	2.193774637507277	2.9916968665042547	725.0	-7.170621316306483	-10.193413555992143	3.0227922396856584	-6.930943396226414	-9.854716981132075	2.9237735849056596
GCA_000008505	Bacillus thuringiensis serovar konkukian str. 97-27	281309	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	0.42	0.3599752894558106	0.36085769088968084	0.4088747217162518	5117.0	0.2944118125463122	0.8508529154690949	0.8390898874731226	5237682.0	781185.0	4394886.0	104.0	44.62195580073087	52.723084484427794	59.39796932967719	36.79406682021479	37.689599751699625	50.073532480274594	50.0	4.749439156472321	7.590286120352793	2.397169587376148	2.5935167985680163	-6.3834023842094965	-10.264000000000001	-1.8340958374047331	-1.9442779999999997	16.0	15.0	0.8032050029314051	14.0	14.0	4168.0	1717.14	4253.0	1276.536	99.97	3.647882588839128	1.8107479315912556	2.610788698277093	509.0	-5.919069403714565	-7.830821114369502	1.9117517106549367	-6.95	-9.839999999999998	2.89
GCA_000009925	Bacteroides fragilis YCH46	295405	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides.	0.63	0.4422436582331227	0.4434334514552082	0.4115528281750267	4578.0	0.3471087385830659	0.9051834337197576	0.9013142012334399	5277274.0	500373.0	4756482.0	72.0	55.166527018675005	54.63531942704334	59.35803713466781	43.10936165872745	43.29924625031944	54.243138069906095	54.0	3.468412414841313	7.283283937108198	2.4616311984956427	5.9543347697087	-0.9628352992573325	-1.5740740740740735	-0.779265281782448	-0.6766296296296296	18.0	17.0	0.9475753604193972	6.0	6.0	571.0	527.63	365.0	303.972	100.0	6.147216359176575	2.0149617867102645	3.1373553451332357	1374.0	-4.912621804675552	-10.566119729080183	5.653497924404632	-3.3754716981132082	-10.256603773584905	6.881132075471699
GCA_000011065	Bacteroides thetaiotaomicron VPI-5482	226186	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides.	1.47	0.4388437171309924	0.43993889028105954	0.40758814736656995	4778.0	0.34647225571314183	0.8990077409274002	0.8957128830110596	6260361.0	632248.0	5607486.0	70.0	54.37536638965112	53.907467425137746	59.17887624135662	43.4179261985894	44.09557725363298	54.62489443491504	53.0	3.93318475446641	7.2376079247110585	2.7459258616006412	5.838417985505694	-0.9406446211804221	-1.4939622641509434	-0.7456779447467669	-0.7105309433962265	18.0	17.0	0.9748848890749268	5.0	5.0	556.0	529.876	357.0	299.094	100.0	5.017995352746322	2.0181730425571622	3.0922437045497264	1378.0	-4.756875523889355	-10.543382229673094	5.786506705783738	-3.360377358490566	-10.394339622641509	7.033962264150944
GCA_000046705	Bartonella henselae str. Houston-1	283166	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bartonellaceae; Bartonella.	3.0	0.3999017796489163	0.4009188923927499	0.42969092023465544	1525.0	0.379354601384179	0.7563352937551494	0.7180964523390678	1931047.0	470528.0	1386678.0	42.0	46.413173858409166	51.300078083747636	58.46383016945446	41.59213511669616	45.29009841303886	55.00474158380763	54.0	2.722849634816166	5.64707922716331	1.6525162848552781	2.497338281405261	-3.748654855643053	-5.617407407407408	-1.3332070603674533	-1.8027503703703704	17.0	16.0	0.8727868852459016	2.0	2.0	945.0	328.328	759.0	229.19	100.0	5.320863201965376	2.333635643953003	2.7173865472152507	287.0	-6.547815789473685	-9.227980263157894	2.680164473684211	-7.824999999999999	-12.159615384615384	4.334615384615384
