#Id	Organism	TaxonID	Full Taxonomy	Banfield_tree_name	CDS_GC	CDS_GC_nostartstop	Ribo_prot_GC_nostartstop	CDS_number	Intragenic_GC	Gene_density	Coding_density	Genome_length	Intragenic_length	CDS_length	tRNA_number	All_NC_wright	All_NC_novembre	All_NC_info	Ribo_NC_wright	Ribo_NC_novembre	Ribo_NC_info	Ribo_prot_number	Information_content_all(-20_-4)	Information_content_ribo(-20_-4)	Information_content_all_mean_random(-20_-4)	Information_content_ribo_mean_random(-20_-4)	Mean_binding_all	Mean_binding_ribo	Mean_binding_all_mean_random	Mean_binding_ribo_mean_random	Location_of_best_binding_all	Location_of_best_binding_ribo	ATG_start_percent	16s_copies	23s_copies	CDS_with_SD_utr_motif	Expected_CDS_with_SD_utr_motif	CDS_with_SD_utr_binding	Expected_CDS_with_SD_utr_binding	RP_information_percentile	RP_information_zscore	aSD_binding_score_ribosome	aSD_binding_score_all	Internal_SD_seqs	Mean_folding_init	Mean_folding_internal	Mean_folding_diff	Mean_folding_init_ribo	Mean_folding_internal_ribo	Mean_folding_diff_ribo
GCA_000010525	Azorhizobium caulinodans ORS 571	438753	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Azorhizobium.	Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Xanthobacteraceae_Azorhizobium_caulinodans_ORS_571	0.6778640096685592	0.6799065040147395	0.6569916265347737	4667.0	0.6288877048378152	0.877787362293967	0.8630539620676632	5369772.0	656254.0	4634403.0	52.0	34.47693688870915	45.573539932017646	56.75312858068985	32.11964243929897	41.45057361647508	53.20567943466756	56.0	1.7491295942909528	3.5030289679977376	1.2251559586360066	1.8346746526655242	-4.699427775396494	-5.882727272727273	-2.1885240334333558	-2.512017090909091	17.0	16.0	0.847868009427898	3.0	3.0	2949.0	1139.65	3040.0	1454.196	99.89	3.3502315959386384	2.591129326696387	3.5215965770811377	1598.0	-15.668346558009866	-20.956680248766887	5.288333690757024	-14.526415094339622	-18.907547169811323	4.381132075471698
GCA_000143885	Gordonia sp. KTR9	337191	Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia.	Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia_sp._KTR9	0.6816786666930766	0.6834768513618128	0.660994708994709	4741.0	0.6775130593794969	0.9045516118948261	0.8907016606599305	5441391.0	519372.0	4846656.0	44.0	36.269084305472184	49.05028829307065	58.53161996524242	30.78645118274036	40.405409103710525	53.36373543547239	59.0	1.420119489830776	4.315029811943155	1.0172544136792854	1.8384629622383295	-3.9489767932489377	-6.047288135593219	-2.199289430379754	-2.1602654237288137	17.0	16.0	0.6753849398860999	3.0	3.0	2479.0	1225.294	2652.0	1483.846	100.0	8.247334539947525	2.8086574440787104	3.3567956220946487	1195.0	-15.76758445945946	-20.804793074324323	5.037208614864865	-11.873214285714285	-19.139285714285712	7.266071428571429
GCA_000503875	candidate division SR1 bacterium RAAC1_SR1_1	1394709	Bacteria; candidate division SR1.	Bacteria_CP_SR1_RAAC1_SR1_1	0.3150437972183343	0.3157065323026778	0.31511171205975147	1049.0	0.30685806398734566	0.8627385885069964	0.8571686931123489	1177760.0	161661.0	1009539.0	36.0	40.944583661418505	53.6202745022434	59.05326964783454	35.248701115840205	46.628681772318444	55.573567111501156	38.0	5.522799858700352	7.450264970632118	4.36732148005554	6.451269802134269	-0.6824690181124838	-0.36973684210526314	-0.3696521258341254	-0.36140631578947363	0.0	16.0	0.9113441372735939	1.0	1.0	35.0	38.164	23.0	17.892	91.36	1.3965800318518513	2.6108644280662063	2.3418325746156565	148.0	-4.514851957975167	-7.077936962750717	2.5630850047755493	-4.144736842105263	-7.939473684210524	3.7947368421052627
GCA_000689395	Candidatus Phaeomarinobacter ectocarpi	1458461	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhodobiaceae; Candidatus Phaeomarinobacter.	Bacteria_Proteobacteria_Alphaproteobacteria_unclassified_Alphaproteobacteriar_Canditatus_Phaeomarinobacter_ectocarpi_Ec32	0.5927704147813878	0.5946059223736281	0.5801627346697578	3171.0	0.5488659812192763	0.8961926634376541	0.8765618481778621	3415905.0	354596.0	2994252.0	39.0	46.7716361733879	51.52354050625595	58.179648812522274	43.63832243430812	46.2153934163927	54.67250615995562	54.0	0.8401539718596389	3.041724982595508	0.26794378225966686	1.3361645773260844	-3.833832335329336	-5.187307692307694	-1.8001993570753305	-2.159258846153846	16.0	15.0	0.8505203405865658	1.0	1.0	1719.0	765.59	1684.0	739.326	100.0	5.473574151805079	2.059038952094215	2.819735647244703	295.0	-11.75481539917955	-16.942189965288737	5.187374566109183	-10.288	-16.045999999999996	5.758000000000001
GCA_000695975	Leptospirillum ferriphilum YSK	1441628	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum.	Bacteria_Nitrospirae_Nitrospira_Nitrospirales_Nitrospiraceae_Leptospirillum_ferriphilum_YSK	0.5495137826500673	0.5510149792357266	0.45191844597848774	2261.0	0.5440508868914948	0.9095471737782574	0.8977904689166025	2330585.0	210808.0	2092377.0	46.0	49.83945960993195	51.76538840355704	57.754052734760585	54.9510030467294	54.24222798620063	59.302301494319195	44.0	1.3320206088537363	3.3546358273588335	0.24098836313831987	1.7560839349747408	-4.829769911504409	-5.492954545454545	-1.9680277256637209	-1.8328013636363638	17.0	17.0	0.7058823529411765	2.0	2.0	1654.0	649.458	1558.0	607.654	99.52	2.9619511333876276	3.0583545015381675	3.9393721466553298	829.0	-11.601801682160248	-14.682293050022132	3.0804913678618857	-8.409090909090908	-12.038636363636362	3.6295454545454544
GCA_000009085	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	192222	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter.	Bacteria_Proteobacteria_deltaepsilon_subdivisions_Epsilonproteobacteria_Campylobacterales_Campylobacteraceae_Campylobacter_jejuni_jejuni_NCTC_11168	0.30840708876650064	0.3088814171726803	0.34490508296275046	1572.0	0.303870547036524	0.9523351168853005	0.9162195602629577	1641481.0	78241.0	1503957.0	43.0	39.864152331256975	51.56437023211406	58.55577516481661	37.94458188024075	46.23719960032621	56.658265889965605	53.0	5.576329582022918	8.167251560492979	3.9896046430423278	3.9716126621513066	-4.154462126034382	-5.953773584905661	-0.9220707320178201	-1.2119754716981133	18.0	17.0	0.878498727735369	3.0	3.0	1165.0	231.944	820.0	129.14	99.98	3.2933472284734435	1.8904409589279785	2.2791283657632118	152.0	-4.737984546039923	-6.881352221506762	2.143367675466838	-4.752	-7.718000000000001	2.9659999999999997
GCA_000430105	Salmonella enterica subsp. enterica serovar Heidelberg str. 41578	1124936	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella.	Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Salmonella_enterica_Enterica_sv._Heidelberg_41578	0.5329569742666904	0.5348203346114586	0.5192732212599762	4482.0	0.4262946315522917	0.883438521374559	0.8707354303627908	4793479.0	558735.0	4173852.0	84.0	47.82011878011019	48.88399588281061	57.152700539776916	37.56682542097748	37.44662409066258	49.620787506948105	58.0	1.888518233672284	4.252054743804919	0.3448658339880611	1.3724297610689318	-4.796480696273122	-5.956551724137929	-1.5653768444543734	-1.7248299999999999	17.0	17.0	0.9047300312360553	7.0	7.0	3138.0	1046.132	2934.0	844.054	100.0	4.990908902890268	1.6089294296703285	2.7209516601775254	432.0	-8.590425096612867	-14.153748579222551	5.563323482609683	-8.34	-13.694545454545455	5.3545454545454545
GCA_000013805	Yersinia pestis Nepal516	377628	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Yersinia.	Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Yersinia_pestis_Nepal516	0.48778941124748537	0.4893117710870566	0.4946179636491971	4017.0	0.40210003218440127	0.8458905876826791	0.8231440990254907	4534590.0	698823.0	3732621.0	71.0	52.87477009170761	52.7920993721083	58.35220624172174	42.182883887496374	41.43919114124282	51.82002223583484	57.0	1.7025317001817764	4.1775037146094345	0.45766476679210294	1.49021180232575	-4.382725914861814	-5.745087719298248	-1.4490705601195022	-1.6674119298245613	17.0	17.0	0.8770226537216829	7.0	7.0	2651.0	865.802	2419.0	666.846	100.0	5.519430880113197	1.6029788868738304	2.7343024970819854	260.0	-8.257879017970133	-12.29665907365224	4.038780055682106	-8.471666666666666	-12.981481481481481	4.509814814814816
GCA_000016685	Actinobacillus pleuropneumoniae serovar 3 str. JL03	434271	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Actinobacillus.	Bacteria_Proteobacteria_Gammaproteobacteria_Pasteurellales_Pasteurellaceae_Actinobacillus_pleuropneumoniae_serovar_3_str._JL03	0.4219430810625161	0.42329435615590943	0.42257971847170356	1984.0	0.3235219402625879	0.8921283175933583	0.8532020969982097	2242062.0	241855.0	1912932.0	62.0	45.02435099780048	46.21515976175535	56.21978792609355	36.31311378220492	37.34722181514597	48.80249786160998	56.0	3.6161147033724417	5.957855806686162	1.9829826755148665	2.693050953831673	-4.184536290322571	-5.73636363636364	-1.000629969758063	-1.2660534545454547	17.0	16.0	0.936491935483871	6.0	6.0	1360.0	304.288	1131.0	185.614	99.94	3.408288597390829	1.2874100109728186	2.0607095246023532	38.0	-5.31965639211723	-10.312607377463365	4.992950985346135	-7.065384615384616	-10.055769230769231	2.9903846153846154
GCA_000015965	Prochlorococcus marinus str. MIT 9301	167546	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus.	Bacteria_Cyanobacteria_Prochlorales_Prochlorococcaceae_Prochlorococcus_marinus_str._MIT_9301	0.3207523256869977	0.32139819255970303	0.36407681465821	1774.0	0.2518730431825229	0.9023807479113869	0.8986520931201386	1641879.0	160279.0	1475478.0	35.0	40.064101653324755	53.68790117693071	60.35114744552835	41.17554938869599	49.771119329045895	59.81792901419671	53.0	4.135552920453738	4.075574475743556	4.0751219480885	4.0847758400169765	-0.8620699379582569	-2.170943396226415	-0.558025752961078	-0.5479433962264152	15.0	15.0	0.7908680947012401	1.0	1.0	237.0	129.542	163.0	62.478	6.74	-1.467530970276682	2.92556436165051	2.859886222177369	444.0	-4.685567598402738	-7.087079292641186	2.4015116942384487	-3.6980769230769233	-7.973076923076922	4.2749999999999995
